Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2017-08-11,Arsenal,Leicester,4,3,H,82,78,4,0,0,75,33,0.6052631578947368,0,0,0,,0,0,44,-15,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,31,48,0.2894736842105263,,0
2017-08-12,Brighton,Man City,0,2,A,75,84,-9,0,0,-1,-1,0.0,0,0,0,,0,0,78,41,0.6052631578947368,0,0,0,,0,0,0,0,0,0,0,0,,,0,-79,-42,-0.6052631578947368,,0
2017-08-12,Chelsea,Burnley,2,3,A,83,77,6,0,0,93,52,0.7894736842105263,0,0,0,,0,0,40,-16,0.2894736842105263,0,0,0,,0,0,0,0,0,0,0,0,,,0,53,68,0.5,,0
2017-08-12,Crystal Palace,Huddersfield,0,3,A,76,74,2,0,0,41,-13,0.3157894736842105,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,42,-12,0.3157894736842105,,0
2017-08-12,Everton,Stoke,1,0,H,79,76,3,0,0,61,18,0.4473684210526316,0,0,0,,0,0,44,-15,0.2894736842105263,0,0,0,,0,0,0,0,0,0,0,0,,,0,17,33,0.15789473684210525,,0
2017-08-12,Southampton,Swansea,0,0,D,76,75,1,0,0,46,-7,0.3157894736842105,0,0,0,,0,0,41,-25,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,5,18,0.0,,0
2017-08-12,Watford,Liverpool,3,3,D,77,81,-4,0,0,40,-28,0.2894736842105263,0,0,0,,0,0,76,36,0.5789473684210527,0,0,0,,0,0,0,0,0,0,0,0,,,0,-36,-64,-0.2894736842105263,,0
2017-08-12,West Brom,Bournemouth,1,0,H,76,76,0,0,0,45,-8,0.3157894736842105,0,0,0,,0,0,46,-12,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,-1,4,0.0,,0
2017-08-13,Man United,West Ham,4,0,H,83,77,6,0,0,69,25,0.4736842105263158,0,0,0,,0,0,45,-17,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,24,42,0.1578947368421053,,0
2017-08-13,Newcastle,Tottenham,0,2,A,75,83,-8,0,0,-1,-1,0.0,0,0,0,,0,0,86,60,0.6842105263157895,0,0,0,,0,0,0,0,0,0,0,0,,,0,-87,-61,-0.6842105263157895,,0
