Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2016-08-13,Burnley,Swansea,0,1,A,74,77,-3,0,0,-1,-1,0.0,0,0,0,,0,0,47,-10,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,-48,9,-0.3157894736842105,,0
2016-08-13,Crystal Palace,West Brom,0,1,A,77,75,2,0,0,42,-12,0.2894736842105263,0,0,0,,0,0,43,-14,0.2631578947368421,0,0,0,,0,0,0,0,0,0,0,0,,,0,-1,2,0.026315789473684237,,0
2016-08-13,Everton,Tottenham,1,1,D,80,81,-1,0,0,47,4,0.2894736842105263,0,0,0,,0,0,70,34,0.5,0,0,0,,0,0,0,0,0,0,0,0,,,0,-23,-30,-0.21052631578947367,,0
2016-08-13,Hull,Leicester,2,1,H,75,78,-3,0,0,-1,-1,0.0,0,0,0,,0,0,81,32,0.6052631578947368,0,0,0,,0,0,0,0,0,0,0,0,,,0,-82,-33,-0.6052631578947368,,0
2016-08-13,Man City,Sunderland,2,1,H,83,76,7,0,0,66,30,0.5,0,0,0,,0,0,39,-14,0.2368421052631579,0,0,0,,0,0,0,0,0,0,0,0,,,0,27,44,0.2631578947368421,,0
2016-08-13,Middlesbrough,Stoke,1,1,D,75,78,-3,0,0,-1,-1,0.0,0,0,0,,0,0,51,-14,0.3684210526315789,0,0,0,,0,0,0,0,0,0,0,0,,,0,-52,13,-0.3684210526315789,,0
2016-08-13,Southampton,Watford,1,1,D,78,77,1,0,0,63,18,0.4736842105263158,0,0,0,,0,0,45,-10,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,18,28,0.1578947368421053,,0
2016-08-14,Arsenal,Liverpool,3,4,A,83,81,2,0,0,71,29,0.5263157894736842,0,0,0,,0,0,60,13,0.42105263157894735,0,0,0,,0,0,0,0,0,0,0,0,,,0,11,16,0.10526315789473684,,0
2016-08-14,Bournemouth,Man United,1,3,A,74,83,-9,0,0,42,-22,0.2894736842105263,0,0,0,,0,0,66,14,0.5,0,0,0,,0,0,0,0,0,0,0,0,,,0,-24,-36,-0.21052631578947367,,0
2016-08-15,Chelsea,West Ham,2,1,H,83,78,5,0,0,50,6,0.3157894736842105,0,0,0,,0,0,62,14,0.42105263157894735,0,0,0,,0,0,0,0,0,0,0,0,,,0,-12,-8,-0.10526315789473684,,0
2016-08-19,Man United,Southampton,2,0,H,83,78,5,1,3,66,14,0.5,3,1,2,1.0,1,1,63,18,0.4736842105263158,1,1,0,0.0,0,0,0,0,0,0,0,0,,,2,3,-4,0.02631578947368418,1.0,2
2016-08-20,Burnley,Liverpool,2,0,H,74,81,-7,1,0,-1,-1,0.0,0,1,-1,0.0,1,3,60,13,0.42105263157894735,4,3,1,1.0,0,0,0,0,0,0,0,0,,,-3,-61,-14,-0.42105263157894735,-1.0,-2
2016-08-20,Leicester,Arsenal,0,0,D,78,83,-5,1,0,81,32,0.6052631578947368,1,2,-1,0.0,1,0,71,29,0.5263157894736842,3,4,-1,0.0,0,0,0,0,0,0,0,0,,,0,10,3,0.07894736842105265,0.0,0
