Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2018-08-10,Man United,Leicester,2.0,1.0,H,83,78,5
2018-08-11,Newcastle,Tottenham,1.0,2.0,A,76,83,-7
2018-08-11,Fulham,Crystal Palace,0.0,2.0,A,76,77,-1
2018-08-11,Huddersfield,Chelsea,0.0,3.0,A,75,83,-8
2018-08-11,Watford,Brighton,2.0,0.0,H,77,76,1
2018-08-11,Bournemouth,Cardiff,2.0,0.0,H,76,73,3
2018-08-11,Wolves,Everton,2.0,2.0,D,76,79,-3
2018-08-12,Liverpool,West Ham,4.0,0.0,H,83,78,5
2018-08-12,Southampton,Burnley,0.0,0.0,D,77,78,-1
2018-08-12,Arsenal,Man City,0.0,2.0,A,82,85,-3
2018-08-18,Cardiff,Newcastle,0.0,0.0,D,73,76,-3
2018-08-18,Tottenham,Fulham,3.0,1.0,H,83,76,7
2018-08-18,Everton,Southampton,2.0,1.0,H,79,77,2
2018-08-18,Leicester,Wolves,2.0,0.0,H,78,76,2
2018-08-18,West Ham,Bournemouth,1.0,2.0,A,78,76,2
2018-08-18,Chelsea,Arsenal,3.0,2.0,H,83,82,1
2018-08-19,Man City,Huddersfield,6.0,1.0,H,85,75,10
2018-08-19,Burnley,Watford,1.0,3.0,A,78,77,1
2018-08-19,Brighton,Man United,3.0,2.0,H,76,83,-7
2018-08-20,Crystal Palace,Liverpool,0.0,2.0,A,77,83,-6
2018-08-25,Wolves,Man City,1.0,1.0,D,76,85,-9
2018-08-25,Arsenal,West Ham,3.0,1.0,H,82,78,4
2018-08-25,Huddersfield,Cardiff,0.0,0.0,D,75,73,2
2018-08-25,Southampton,Leicester,1.0,2.0,A,77,78,-1
2018-08-25,Bournemouth,Everton,2.0,2.0,D,76,79,-3
2018-08-25,Liverpool,Brighton,1.0,0.0,H,83,76,7
2018-08-26,Watford,Crystal Palace,2.0,1.0,H,77,77,0
2018-08-26,Fulham,Burnley,4.0,2.0,H,76,78,-2
2018-08-26,Newcastle,Chelsea,1.0,2.0,A,76,83,-7
2018-08-27,Man United,Tottenham,0.0,3.0,A,83,83,0
2018-09-01,Leicester,Liverpool,1.0,2.0,A,78,83,-5
2018-09-01,Chelsea,Bournemouth,2.0,0.0,H,83,76,7
2018-09-01,Everton,Huddersfield,1.0,1.0,D,79,75,4
2018-09-01,West Ham,Wolves,0.0,1.0,A,78,76,2
2018-09-01,Crystal Palace,Southampton,0.0,2.0,A,77,77,0
2018-09-01,Brighton,Fulham,2.0,2.0,D,76,76,0
2018-09-01,Man City,Newcastle,2.0,1.0,H,85,76,9
2018-09-02,Cardiff,Arsenal,2.0,3.0,A,73,82,-9
2018-09-02,Burnley,Man United,0.0,2.0,A,78,83,-5
2018-09-02,Watford,Tottenham,2.0,1.0,H,77,83,-6
2018-09-15,Tottenham,Liverpool,1.0,2.0,A,83,83,0
2018-09-15,Man City,Fulham,3.0,0.0,H,85,76,9
2018-09-15,Newcastle,Arsenal,1.0,2.0,A,76,82,-6
2018-09-15,Chelsea,Cardiff,4.0,1.0,H,83,73,10
2018-09-15,Huddersfield,Crystal Palace,0.0,1.0,A,75,77,-2
2018-09-15,Bournemouth,Leicester,4.0,2.0,H,76,78,-2
2018-09-15,Watford,Man United,1.0,2.0,A,77,83,-6
2018-09-16,Wolves,Burnley,1.0,0.0,H,76,78,-2
2018-09-16,Everton,West Ham,1.0,3.0,A,79,78,1
2018-09-17,Southampton,Brighton,2.0,2.0,D,77,76,1
2018-09-22,Fulham,Watford,1.0,1.0,D,76,77,-1
2018-09-22,Liverpool,Southampton,3.0,0.0,H,83,77,6
2018-09-22,Man United,Wolves,1.0,1.0,D,83,76,7
2018-09-22,Leicester,Huddersfield,3.0,1.0,H,78,75,3
2018-09-22,Burnley,Bournemouth,4.0,0.0,H,78,76,2
2018-09-22,Cardiff,Man City,0.0,5.0,A,73,85,-12
2018-09-22,Crystal Palace,Newcastle,0.0,0.0,D,77,76,1
2018-09-22,Brighton,Tottenham,1.0,2.0,A,76,83,-7
2018-09-23,West Ham,Chelsea,0.0,0.0,D,78,83,-5
2018-09-23,Arsenal,Everton,2.0,0.0,H,82,79,3
2018-09-29,West Ham,Man United,3.0,1.0,H,78,83,-5
2018-09-29,Wolves,Southampton,2.0,0.0,H,76,77,-1
2018-09-29,Man City,Brighton,2.0,0.0,H,85,76,9
2018-09-29,Newcastle,Leicester,0.0,2.0,A,76,78,-2
2018-09-29,Arsenal,Watford,2.0,0.0,H,82,77,5
2018-09-29,Everton,Fulham,3.0,0.0,H,79,76,3
2018-09-29,Huddersfield,Tottenham,0.0,2.0,A,75,83,-8
2018-09-29,Chelsea,Liverpool,1.0,1.0,D,83,83,0
2018-09-30,Cardiff,Burnley,1.0,2.0,A,73,78,-5
2018-10-01,Bournemouth,Crystal Palace,2.0,1.0,H,76,77,-1
2018-10-05,Brighton,West Ham,1.0,0.0,H,76,78,-2
2018-10-06,Tottenham,Cardiff,1.0,0.0,H,83,73,10
2018-10-06,Leicester,Everton,1.0,2.0,A,78,79,-1
2018-10-06,Burnley,Huddersfield,1.0,1.0,D,78,75,3
2018-10-06,Crystal Palace,Wolves,0.0,1.0,A,77,76,1
2018-10-06,Watford,Bournemouth,0.0,4.0,A,77,76,1
2018-10-06,Man United,Newcastle,3.0,2.0,H,83,76,7
2018-10-07,Fulham,Arsenal,1.0,5.0,A,76,82,-6
2018-10-07,Southampton,Chelsea,0.0,3.0,A,77,83,-6
2018-10-07,Liverpool,Man City,0.0,0.0,D,83,85,-2
2018-10-20,Chelsea,Man United,2.0,2.0,D,83,83,0
2018-10-20,Wolves,Watford,0.0,2.0,A,76,77,-1
2018-10-20,Man City,Burnley,5.0,0.0,H,85,78,7
2018-10-20,Newcastle,Brighton,0.0,1.0,A,76,76,0
2018-10-20,Cardiff,Fulham,4.0,2.0,H,73,76,-3
2018-10-20,West Ham,Tottenham,0.0,1.0,A,78,83,-5
2018-10-20,Bournemouth,Southampton,0.0,0.0,D,76,77,-1
2018-10-20,Huddersfield,Liverpool,0.0,1.0,A,75,83,-8
2018-10-21,Everton,Crystal Palace,2.0,0.0,H,79,77,2
2018-10-22,Arsenal,Leicester,3.0,1.0,H,82,78,4
2018-10-27,Fulham,Bournemouth,0.0,3.0,A,76,76,0
2018-10-27,Liverpool,Cardiff,4.0,1.0,H,83,73,10
2018-10-27,Southampton,Newcastle,0.0,0.0,D,77,76,1
2018-10-27,Brighton,Wolves,1.0,0.0,H,76,76,0
2018-10-27,Watford,Huddersfield,3.0,0.0,H,77,75,2
2018-10-27,Leicester,West Ham,1.0,1.0,D,78,78,0
2018-10-28,Burnley,Chelsea,0.0,4.0,A,78,83,-5
2018-10-28,Crystal Palace,Arsenal,2.0,2.0,D,77,82,-5
2018-10-28,Man United,Everton,2.0,1.0,H,83,79,4
2018-10-29,Tottenham,Man City,0.0,1.0,A,83,85,-2
2018-11-03,Bournemouth,Man United,,,X,76,83,-7
2018-11-03,Newcastle,Watford,,,X,76,77,-1
2018-11-03,Everton,Brighton,,,X,79,76,3
2018-11-03,Cardiff,Leicester,,,X,73,78,-5
2018-11-03,West Ham,Burnley,,,X,78,78,0
2018-11-03,Arsenal,Liverpool,,,X,82,83,-1
2018-11-03,Wolves,Tottenham,,,X,76,83,-7
2018-11-04,Man City,Southampton,,,X,85,77,8
2018-11-04,Chelsea,Crystal Palace,,,X,83,77,6
2018-11-05,Huddersfield,Fulham,,,X,75,76,-1
2018-11-10,Cardiff,Brighton,,,X,73,76,-3
2018-11-10,Newcastle,Bournemouth,,,X,76,76,0
2018-11-10,Leicester,Burnley,,,X,78,78,0
2018-11-10,Huddersfield,West Ham,,,X,75,78,-3
2018-11-10,Southampton,Watford,,,X,77,77,0
2018-11-10,Crystal Palace,Tottenham,,,X,77,83,-6
2018-11-11,Liverpool,Fulham,,,X,83,76,7
2018-11-11,Chelsea,Everton,,,X,83,79,4
2018-11-11,Man City,Man United,,,X,85,83,2
2018-11-11,Arsenal,Wolves,,,X,82,76,6
2018-11-24,Fulham,Southampton,,,X,76,77,-1
2018-11-24,Everton,Cardiff,,,X,79,73,6
2018-11-24,Man United,Crystal Palace,,,X,83,77,6
2018-11-24,West Ham,Man City,,,X,78,85,-7
2018-11-24,Brighton,Leicester,,,X,76,78,-2
2018-11-24,Watford,Liverpool,,,X,77,83,-6
2018-11-24,Tottenham,Chelsea,,,X,83,83,0
2018-11-25,Bournemouth,Arsenal,,,X,76,82,-6
2018-11-25,Wolves,Huddersfield,,,X,76,75,1
2018-11-26,Burnley,Newcastle,,,X,78,76,2
2018-11-30,Cardiff,Wolves,,,X,73,76,-3
2018-12-01,Man City,Bournemouth,,,X,85,76,9
2018-12-01,Newcastle,West Ham,,,X,76,78,-2
2018-12-01,Leicester,Watford,,,X,78,77,1
2018-12-01,Huddersfield,Brighton,,,X,75,76,-1
2018-12-01,Crystal Palace,Burnley,,,X,77,78,-1
2018-12-01,Southampton,Man United,,,X,77,83,-6
2018-12-02,Chelsea,Fulham,,,X,83,76,7
2018-12-02,Arsenal,Tottenham,,,X,82,83,-1
2018-12-02,Liverpool,Everton,,,X,83,79,4
2018-12-04,West Ham,Cardiff,,,X,78,73,5
2018-12-04,Brighton,Crystal Palace,,,X,76,77,-1
2018-12-04,Bournemouth,Huddersfield,,,X,76,75,1
2018-12-04,Watford,Man City,,,X,77,85,-8
2018-12-05,Wolves,Chelsea,,,X,76,83,-7
2018-12-05,Fulham,Leicester,,,X,76,78,-2
2018-12-05,Burnley,Liverpool,,,X,78,83,-5
2018-12-05,Everton,Newcastle,,,X,79,76,3
2018-12-05,Man United,Arsenal,,,X,83,82,1
2018-12-05,Tottenham,Southampton,,,X,83,77,6
2018-12-08,Bournemouth,Liverpool,,,X,76,83,-7
2018-12-08,Arsenal,Huddersfield,,,X,82,75,7
2018-12-08,Man United,Fulham,,,X,83,76,7
2018-12-08,Burnley,Brighton,,,X,78,76,2
2018-12-08,Cardiff,Southampton,,,X,73,77,-4
2018-12-08,West Ham,Crystal Palace,,,X,78,77,1
2018-12-08,Chelsea,Man City,,,X,83,85,-2
2018-12-08,Leicester,Tottenham,,,X,78,83,-5
